sms,label,Spam/NonSpam,Word_length,preprocessed_text
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
",0,Non Spam,20,jurong point crazi avail onli bugi great buffet cine amor wat
"Ok lar... Joking wif u oni...
",0,Non Spam,6,lar joke wif oni
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",1,Spam,28,free entri <number> wkli comp win cup final tkt <number> text <number> receiv entri questionstd txt ratetc appli
"U dun say so early hor... U c already then say...
",0,Non Spam,11,dun earli hor alreadi
"Nah I don't think he goes to usf, he lives around here though
",0,Non Spam,13,nah dont goe usf live
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
",1,Spam,32,freemsg hey darl <number> week word fun xxx std chg send <cur><number> rcv
"Even my brother is not like to speak with me. They treat me like aids patent.
",0,Non Spam,16,brother speak treat aid patent
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,Non Spam,26,request mell mell oru minnaminungint nurungu vettam ha set callertun caller press <number> copi friend callertun
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",1,Spam,26,winner valu network custom select receivea <cur><number> prize reward claim <phone> claim code kl valid <number> hour onli
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",1,Spam,29,mobil <number> month entitl updat latest colour mobil camera free mobil updat free <phone>
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
",0,Non Spam,21,gonna dont talk thi stuff anymor tonight ive cri today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",1,Spam,26,chanc win cash <number> <number> pound txt> csh send <number> cost pday day <number>+ tsandc appli repli hl <number> info
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
",1,Spam,26,urgent <number> week free membership <cur><number> prize jackpot txt word claim <number> <url> lccltd pobox ldnwarw
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
",0,Non Spam,37,ive search word thi breather promis grant fulfil promis bless time
"I HAVE A DATE ON SUNDAY WITH WILL!!
",0,Non Spam,8,sunday
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",1,Spam,19,xxxmobilemovieclub credit click wap link txt messag click here>> httpwap xxxmobilemovieclubcomn=qjkgighjjgcbl
"Oh k...i'm watching here:)
",0,Non Spam,4,kim watch
"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
",0,Non Spam,19,eh rememb <number> spell ye naughti wet
"Fine if thats the way u feel. Thats the way its gota b
",0,Non Spam,13,fine feel gota
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+
",1,Spam,24,england macedonia dont goalsteam news txt nation team <number> england <number> trywal scotland txtu poboxoxwwq <number>+
"Is that seriously how you spell his name?
",0,Non Spam,8,spell
"I‘m going to try for 2 months ha ha only joking
",0,Non Spam,11,tri <number> month ha ha onli joke
"So ü pay first lar... Then when is da stock comin...
",0,Non Spam,11,pay lar stock comin
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
",0,Non Spam,20,aft finish lunch str lor ard <number> smth lor finish lunch alreadi
"Ffffffffff. Alright no way I can meet up with you sooner?
",0,Non Spam,11,ffffffffff alright meet sooner
"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
",0,Non Spam,28,forc eat slice realli hungri tho thi suck mark worri sick turn pizza lol
"Lol your always so convincing.
",0,Non Spam,5,lol alway convinc
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
",0,Non Spam,32,catch fri egg tea eat mom left dinner feel love
"I'm back &amp; we're packing the car now, I'll let you know if there's room
",0,Non Spam,15,pack car ill room
"Ahhh. Work. I vaguely remember that! What does it feel like? Lol
",0,Non Spam,12,ahhh work vagu rememb doe feel lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us
",0,Non Spam,26,wait clear sarcast whi doesnt live
"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
",0,Non Spam,41,yeah <number> apologet fallen actin spoilt child caught till <number> badli cheer
"K tell me anything about you.
",0,Non Spam,6,anyth
"For fear of fainting with the of all that housework you just did? Quick have a cuppa
",0,Non Spam,17,fear faint housework quick cuppa
"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
",1,Spam,29,subscript rington mobil charg <cur><number>month pleas confirm repli ye repli charg
"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
",0,Non Spam,28,yup time msg xuhui learn lesson
"Oops, I'll let you know when my roommate's done
",0,Non Spam,9,oop ill roommat
"I see the letter B on my car
",0,Non Spam,8,letter car
"Anything lor... U decide...
",0,Non Spam,4,anyth lor decid
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
",0,Non Spam,30,saturday text decid anyth tomo tri invit anyth
"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
",0,Non Spam,17,ahead watt great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
",0,Non Spam,34,forget crave love sweet arabian steed mmmmmm yummi
"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
",1,Spam,33,<phone> rodger burn msg = tri repli free nokia mobil + free camcord pleas <phone> deliveri tomorrow
"WHO ARE YOU SEEING?
",0,Non Spam,4,
"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
",0,Non Spam,13,great hope man endow <> inch
